Timestamp,black_x,black_y,yellow_x,yellow_y
1727469117.671294,-1000000,-1000000,-4.68,4.55
1727469117.70108,-1000000,-1000000,-4.68,4.56
1727469117.735554,4.37,7.19,-4.69,4.56
1727469117.771636,4.36,6.76,-4.69,4.56
1727469117.800392,4.36,6.63,-4.69,4.56
1727469117.834878,4.36,6.63,-4.68,4.56
1727469117.864117,4.36,6.63,-4.69,4.55
1727469117.8995671,4.36,6.63,-4.68,4.56
1727469117.934313,4.36,6.63,-4.68,4.56
1727469117.964254,4.36,6.63,-4.69,4.56
1727469117.9950058,4.36,6.63,-4.69,4.56
1727469118.035716,4.36,6.65,-4.69,4.56
1727469118.059467,4.36,6.63,-4.68,4.56
1727469118.093697,4.36,6.63,-4.69,4.56
1727469118.128819,4.36,6.63,-4.69,4.56
1727469118.164068,4.36,6.63,-4.68,4.56
1727469118.1935081,4.36,6.63,-4.69,4.56
1727469118.230217,4.36,6.63,-4.69,4.56
1727469118.2591932,4.36,6.63,-4.68,4.56
1727469118.2939038,4.36,6.63,-4.69,4.56
1727469118.329888,4.36,6.63,-4.69,4.56
1727469118.3575182,4.36,6.63,-4.69,4.56
1727469118.39884,4.36,6.63,-4.69,4.56
1727469118.422018,4.36,6.63,-4.69,4.56
1727469118.4513001,4.36,6.63,-4.68,4.56
1727469118.497768,4.36,6.63,-4.68,4.56
1727469118.532825,4.36,6.63,-4.69,4.56
1727469118.556488,4.36,6.63,-4.68,4.56
1727469118.591569,4.36,6.63,-4.69,4.56
1727469118.6201658,4.36,6.63,-4.68,4.56
1727469118.6673868,4.36,6.63,-4.68,4.56
1727469118.696807,4.36,6.63,-4.69,4.56
1727469118.725713,4.36,6.63,-4.69,4.56
1727469118.7609658,4.36,6.63,-4.69,4.56
1727469118.789686,4.36,6.63,-4.69,4.56
1727469118.819974,4.36,6.63,-4.69,4.55
1727469118.860729,4.36,6.63,-4.68,4.56
1727469118.8843389,4.36,6.63,-4.69,4.56
1727469118.931145,4.36,6.63,-4.69,4.56
1727469118.996557,4.36,6.65,-4.68,4.56
1727469119.049553,4.36,6.63,-4.69,4.56
1727469119.083862,4.36,6.63,-4.68,4.56
1727469119.119136,4.36,6.63,-4.69,4.56
1727469119.1494532,4.36,6.63,-4.69,4.55
1727469119.184512,4.36,6.63,-4.68,4.56
1727469119.225864,4.36,6.63,-4.69,4.56
1727469119.249411,4.36,6.63,-4.69,4.56
1727469119.3188758,4.36,6.63,-4.69,4.56
1727469119.348151,4.36,6.63,-1000000,-1000000
1727469119.39209,4.36,6.63,-4.63,5.47
1727469119.421036,4.36,6.63,-4.53,6.9
1727469119.450848,4.36,6.63,-4.55,7.15
1727469119.4859679,4.36,6.63,-4.56,6.94
1727469119.5147362,4.36,6.63,-4.56,6.92
1727469119.5497658,4.36,6.63,-4.56,6.92
1727469119.586118,4.36,6.63,-4.58,6.92
1727469119.61503,4.36,6.63,-4.56,6.92
1727469119.644518,4.36,6.63,-4.58,6.92
1727469119.6793149,4.36,6.63,-4.56,6.92
1727469119.715511,4.36,6.63,-4.56,6.92
1727469119.749791,4.36,6.63,-4.58,6.92
1727469119.7791219,4.36,6.63,-4.56,6.92
1727469119.814427,4.36,6.63,-4.58,6.92
1727469119.848489,4.36,6.63,-4.58,6.92
1727469119.8785942,4.36,6.63,-4.58,6.92
1727469119.907261,4.36,6.63,-4.55,6.94
1727469119.942823,4.36,6.63,-4.56,6.92
1727469119.9770958,4.36,6.63,-4.56,6.92
1727469120.0060601,4.36,6.63,-4.58,6.92
1727469120.035604,4.36,6.63,-4.56,6.92
1727469120.0761511,4.36,6.63,-4.58,6.92
1727469120.116353,4.36,6.63,-4.58,6.92
1727469120.1463628,4.36,6.63,-4.58,6.9
1727469120.1762838,4.36,6.63,-4.58,6.92
1727469120.210732,4.36,6.63,-4.58,6.9
1727469120.246623,4.36,6.63,-4.56,6.92
1727469120.270171,4.36,6.63,-4.56,6.94
1727469120.3111591,4.36,6.63,-1000000,-1000000
1727469120.339937,4.36,6.63,-1000000,-1000000
1727469120.3693,4.36,6.63,-4.9,6.58
1727469120.411456,4.36,6.63,-1000000,-1000000
1727469120.4404778,4.36,6.63,-6.24,5.15
1727469120.47531,4.36,6.63,-7.32,4.05
1727469120.505764,4.36,6.63,-7.19,4.24
1727469120.5404632,4.36,6.63,-7.0,4.42
1727469120.569993,4.36,6.63,-6.98,4.42
1727469120.6115782,4.36,6.63,-7.0,4.42
1727469120.6352189,4.36,6.63,-7.0,4.42
1727469120.670378,4.36,6.63,-6.98,4.42
1727469120.7103202,4.36,6.63,-7.0,4.42
1727469120.7335548,4.36,6.63,-6.98,4.42
1727469120.767829,4.36,6.63,-6.98,4.42
1727469120.797636,4.36,6.63,-7.0,4.42
1727469120.83809,4.36,6.63,-7.0,4.42
1727469120.863211,4.36,6.63,-7.0,4.42
1727469120.897943,4.36,6.63,-7.0,4.42
1727469120.939732,4.36,6.63,-7.0,4.42
1727469120.969093,4.36,6.63,-7.0,4.42
1727469121.003146,4.36,6.63,-7.0,4.42
1727469121.0328052,4.36,6.63,-7.0,4.42
1727469121.068249,4.36,6.63,-7.0,4.42
1727469121.0976682,4.36,6.63,-7.0,4.42
1727469121.132389,4.36,6.63,-7.0,4.42
1727469121.167773,4.36,6.63,-7.0,4.42
1727469121.198163,4.36,6.65,-7.02,4.44
1727469121.2328398,-1000000,-1000000,-7.34,4.44
1727469121.262441,-1000000,-1000000,-8.52,4.44
1727469121.2976341,-1000000,-1000000,-9.76,4.48
1727469121.332565,-1000000,-1000000,-9.42,4.5
1727469121.356517,-1000000,-1000000,-9.21,4.47
1727469121.4033039,6.94,4.13,-9.21,4.48
1727469121.431852,7.11,4.23,-9.23,4.47
1727469121.462539,6.84,4.5,-9.21,4.47
1727469121.498115,6.79,4.5,-9.21,4.47
1727469121.520926,6.79,4.5,-9.21,4.47
1727469121.5686872,6.79,4.5,-9.21,4.47
1727469121.593557,6.79,4.5,-9.23,4.47
1727469121.628217,6.79,4.5,-9.21,4.47
1727469121.656884,6.79,4.5,-9.21,4.47
1727469121.691715,6.79,4.5,-9.21,4.47
1727469121.722249,6.79,4.5,-9.23,4.47
1727469121.755897,6.79,4.5,-9.21,4.47
1727469121.797941,6.79,4.5,-9.23,4.48
